	Label	pa1	pa2	pa3
	obj1	0.47	0.95	0.39
	obj2	0.98	0.98	0.36
	obj3	0.5	0.4	0.11
	obj4	0.5	0.76	0.29
	obj5	0.11	0.51	0.74
	obj6	0.1	0.72	0.27
	obj7	0.55	0.11	0.15
	obj8	0.23	0.36	0.51
	obj9	0.74	0.26	0
	obj10	0	0.38	0.07
	obj11	1.88	1.46	1.02
	obj12	1.54	1.46	1.9
	obj13	1.48	1.19	1.78
	obj14	1.39	1.1	1.23
	obj15	1.43	1.35	1.45
	obj16	1.13	1.82	1.35
	obj17	1.07	1.55	1.36
	obj18	1.5	1.98	1.11
	obj19	1.52	1.11	1.67
	obj20	1.74	1.72	1.38
	obj21	0.21	0.281	0.271
	obj22	0.254	0.294	0.294
	obj23	0.294	0.27	0.24
	obj24	0.23	0.234	0.27
	obj25	0.268	0.262	0.242
	obj26	0.296	0.223	0.245
	obj27	0.237	0.267	0.228
	obj28	0.235	0.249	0.236
	obj29	0.209	0.253	0.272
	obj30	0.245	0.233	0.264
	obj31	0.293	0.272	0.229
	obj32	0.219	0.281	0.214
	obj33	0.218	0.284	0.279
	obj34	0.288	0.286	0.201
	obj35	0.269	0.24	0.28
