Category	Label	pco1	pco2	pco3
bla	obj1	0.47	0.95	0.39
bla	obj2	0.98	0.98	0.36
bla	obj3	0.5	0.4	0.11
bla	obj4	0.5	0.76	0.29
bla	obj5	0.11	0.51	0.74
bla	obj6	0.1	0.72	0.27
bla	obj7	0.55	0.11	0.15
bla	obj8	0.23	0.36	0.51
bla	obj9	0.74	0.26	0
bla	obj10	0	0.38	0.07
blech	obj11	1.88	1.46	1.02
blech	obj12	1.54	1.46	1.9
blech	obj13	1.48	1.19	1.78
blech	obj14	1.39	1.1	1.23
blech	obj15	1.43	1.35	1.45
blech	obj16	1.13	1.82	1.35
blech	obj17	1.07	1.55	1.36
blech	obj18	1.5	1.98	1.11
blech	obj19	1.52	1.11	1.67
blech	obj20	1.74	1.72	1.38
blurb	obj21	0.21	0.281	0.271
blurb	obj22	0.254	0.294	0.294
blurb	obj23	0.294	0.27	0.24
blurb	obj24	0.23	0.234	0.27
blurb	obj25	0.268	0.262	0.242
blurb	obj26	0.296	0.223	0.245
blurb	obj27	0.237	0.267	0.228
blurb	obj28	0.235	0.249	0.236
blurb	obj29	0.209	0.253	0.272
blurb	obj30	0.245	0.233	0.264
blurb	obj31	0.293	0.272	0.229
blurb	obj32	0.219	0.281	0.214
blurb	obj33	0.218	0.284	0.279
blurb	obj34	0.288	0.286	0.201
blurb	obj35	0.269	0.24	0.28
blech	obj11	1.9	1.66	1.33
blech	obj12	1.71	1.74	1.4
blech	obj13	1.22	1.72	1.73
blech	obj14	1.83	1.19	1.82
blech	obj15	1.3	1.26	1.1
blech	obj16	1.9	1.43	1.83
blech	obj17	1.51	1.56	1.57
blech	obj18	1.77	1.74	1.69
blech	obj19	1.83	1.22	1.5
blech	obj20	1.32	1.1	1.76
blech	obj21	1.26	1.81	1.79
blech	obj22	1.97	1.58	1.72
blech	obj23	1.61	1.23	1.29
blech	obj24	1.45	1.72	1.15
blech	obj25	1.17	1.75	1.42
blech	obj26	1.48	1.28	1.4
blech	obj27	1.56	1.1	1.48
blech	obj28	1	1.56	1.98
blech	obj29	1.71	1.24	1.78
blech	obj30	1.52	1.64	1.87
blech	obj31	1.27	1.23	1.46
blech	obj32	1.58	1.28	1.99
blech	obj33	1.34	1.58	1.46
blech	obj34	1.69	1.27	1.23
blech	obj35	1	1.94	1.08
bla	obj10	0.23	0.03	0
bla	obj11	0.37	0.01	0.13
bla	obj12	0.63	0.94	0.52
bla	obj13	0.09	0.75	0.56
bla	obj14	0.98	0.47	0.78
bla	obj15	0.05	0.49	0.13
bla	obj16	0.22	0.01	0.54
bla	obj17	0.39	0.66	0.99
bla	obj18	0.45	0.91	0.9
bla	obj19	0.44	0.68	0.14
bla	obj20	0.57	0.79	0.33
bla	obj21	0.77	0.1	0.27
bla	obj22	0.97	0.99	0.25
bla	obj23	0.23	0.13	0.98
bla	obj24	0.77	0.55	0.64
bla	obj25	0.41	0.6	0.24
bla	obj26	0.21	0.12	0.57
bla	obj27	0.47	0.14	0.47
bla	obj28	0.28	0.35	0.22
bla	obj29	0.34	0.87	0.79
bla	obj30	0.62	0.93	0.68
bla	obj31	0.57	0.04	0.01
bla	obj32	0.84	0.4	0.78
bla	obj33	0.33	0.06	0.21
bla	obj34	0.1	0.92	0.06
bla	obj35	0.85	0.61	0.65
bla	obj36	0.79	0.69	0.22
bla	obj37	0.24	0.34	0.21
bla	obj38	0.07	0.74	0.02
bla	obj39	0.72	0.95	0.31
bla	obj40	0.24	0.48	0.78
bla	obj41	0.66	0.61	0.78
bla	obj42	0.28	0.27	0.55
bla	obj43	0.6	0.94	0.25
bla	obj44	0.58	0.19	0.88
bla	obj45	0.7	0.9	0.23
bla	obj46	0.5	0.86	0.43
bla	obj47	0.03	0.66	0.94
bla	obj48	0.07	0.8	0.34
bla	obj49	0.54	0.56	0.07
bla	obj50	0.47	0	0.61
bla	obj51	0.11	1	0.48
bla	obj52	0.65	0.33	0.54
bla	obj53	0.02	0.29	0.04
blech	obj35	1.71	0.07	0.64
blech	obj36	0.3	1.97	0.5
blech	obj37	0.11	1.1	1.35
blech	obj38	1.13	0.8	-0.53
blech	obj39	1.52	0.6	-0.82
blech	obj40	-0.91	0.94	-0.6
blech	obj41	1.43	0.68	0.97
blech	obj42	1.33	1.83	1.03
blech	obj43	1.64	0.86	0.56
blech	obj44	-0.22	1.18	1.39
blech	obj45	0.43	0.2	0.74
blech	obj46	-0.58	-0.43	1.78
blech	obj47	-0.84	1.81	1.61
blech	obj48	1.78	1.21	-0.03
blech	obj49	-0.01	-0.24	0.9
blech	obj50	-0.52	0.76	-0.9
blech	obj51	1.19	1.01	-0.45
blech	obj52	-0.02	-0.76	0.41
blech	obj53	0.5	0.32	0.97
blech	obj54	1.79	0.4	0.67
blech	obj55	0.14	0.29	-0.03
