categories:leaf type	categories:surface	Label	pa1	pa2	pa3
long leaves	crinkly	obj1	0.47	0.95	0.39
long leaves	crinkly	obj2	0.98	0.98	0.36
long leaves	crinkly	obj3	0.5	0.4	0.11
long leaves	crinkly	obj4	0.5	0.76	0.29
long leaves	crinkly	obj5	0.11	0.51	0.74
long leaves	crinkly	obj6	0.1	0.72	0.27
long leaves	crinkly	obj7	0.55	0.11	0.15
long leaves	crinkly	obj8	0.23	0.36	0.51
long leaves	crinkly	obj9	0.74	0.26	0
long leaves	crinkly	obj10	0	0.38	0.07
short leaves	crinkly	obj11	1.88	1.46	1.02
short leaves	crinkly	obj12	1.54	1.46	1.9
short leaves	crinkly	obj13	1.48	1.19	1.78
short leaves	crinkly	obj14	1.39	1.1	1.23
short leaves	crinkly	obj15	1.43	1.35	1.45
short leaves	crinkly	obj16	1.13	1.82	1.35
short leaves	crinkly	obj17	1.07	1.55	1.36
short leaves	crinkly	obj18	1.5	1.98	1.11
short leaves	crinkly	obj19	1.52	1.11	1.67
short leaves	crinkly	obj20	1.74	1.72	1.38
no leaves	crinkly	obj21	0.21	0.281	0.271
no leaves	crinkly	obj22	0.254	0.294	0.294
no leaves	crinkly	obj23	0.294	0.27	0.24
no leaves	smooth	obj24	0.23	0.234	0.27
no leaves	smooth	obj25	0.268	0.262	0.242
no leaves	smooth	obj26	0.296	0.223	0.245
no leaves	smooth	obj27	0.237	0.267	0.228
no leaves	smooth	obj28	0.235	0.249	0.236
no leaves	smooth	obj29	0.209	0.253	0.272
no leaves	smooth	obj30	0.245	0.233	0.264
no leaves	smooth	obj31	0.293	0.272	0.229
no leaves	smooth	obj32	0.219	0.281	0.214
no leaves	smooth	obj33	0.218	0.284	0.279
no leaves	smooth	obj34	0.288	0.286	0.201
no leaves	smooth	obj35	0.269	0.24	0.28
short leaves	smooth	obj11	1.9	1.66	1.33
short leaves	smooth	obj12	1.71	1.74	1.4
short leaves	smooth	obj13	1.22	1.72	1.73
short leaves	smooth	obj14	1.83	1.19	1.82
short leaves	smooth	obj15	1.3	1.26	1.1
short leaves	smooth	obj16	1.9	1.43	1.83
short leaves	smooth	obj17	1.51	1.56	1.57
