Species Code	Accession Number	PCO1	PCO2	PCO3	PCO4	PCO5
ADG	1072ADG	0.27268427	-0.04512667	-0.01449662	-0.01838853	0.02042392
ADG	1080ADG	0.28641058	0.00812294	-0.05748529	0.02306374	-0.00117511
ADG	1085ADG	0.30184184	0.00485691	0.03418162	0.01698027	0.08255287
ADG	1100ADG_1*	0.31146179	0.00333693	-0.05705224	-0.04703523	0.01076122
DMS	1126DMS	-0.26276534	0.33591754	-0.07321384	-0.09727567	0.09302924
ADG	1129ADG	0.37826667	0.03240926	-0.06775992	0.00454858	-0.0268429
ACL	1167ACL	-0.18681215	0.32897871	0.09613951	-0.21320299	-0.11448129
ACL	1168ACL	-0.14457706	0.31801851	0.08158585	-0.23607264	-0.05633246
STO	12STO_2*	-0.24371249	0.10521848	-0.16326897	0.28216487	-0.07758149
STO	1331STO*	-0.25776142	0.07632358	-0.1507045	0.28766899	-0.07926381
STO	1332STO	-0.31336503	0.03877087	-0.11749421	0.2705328	-0.03843142
STO	1333STO	-0.32678693	0.10110033	-0.13322391	0.27253867	-0.04365661
XXX	1337XXX	0.30145178	-0.00705041	-0.02389237	0.0592082	-0.00282213
VER	1339VER_1*	-0.24036967	-0.02074601	-0.20450968	0.12104458	0.06272502
DMS	1342DMS	-0.29756205	0.34429472	-0.10453773	-0.09264907	0.0642941
DMS	1344DMS	-0.30204897	0.33469705	-0.09377611	-0.0878359	0.08443808
DMS	1345DMS	-0.29509379	0.2817085	-0.06503352	-0.10554374	0.10742179
DMS	1353DMS	-0.24667158	0.3124654	-0.10070746	-0.07441917	0.02833238
DMS	1355DMS	-0.29101528	0.3378813	-0.09999409	-0.08020387	0.02928934
DMS	1356DMS	-0.2668375	0.31930194	-0.13564023	-0.03023986	0.02753095
DMS	1359DMS	-0.24954572	0.35032131	-0.11860258	-0.12365325	0.0890198
DMS	1361DMS	-0.24184788	0.33024295	-0.06596353	-0.10689451	0.11073959
DMS	1363DMS	-0.27358071	0.33367445	-0.08327101	-0.12727254	0.04681581
ADG	1368ADG*	0.33720283	0.02530532	-0.01466473	0.00976593	0.04468652
