category	label	data1	data2	data3
ellie	99	-10606	-11391	-11959
ellie	100	-11197	-10385	-11553
ellie	101	-10009	-10210	-10863
ellie	102	-11542	-11183	-11680
ellie	103	-11505	-11243	-11276
ellie	104	-11593	-10378	-11111
ellie	105	-10209	-10169	-10551
ellie	106	-11079	-11360	-11046
ellie	107	-10401	-11010	-10724
ellie	108	-11163	-10338	-10850
ellie	109	-11595	-10840	-11672
ellie	110	-11749	-11978	-11819
ellie	111	-10196	-11948	-10722
ellie	112	-11410	-10436	-10569
ellie	113	-11391	-11386	-11703
ellie	114	-11488	-11096	-11796
ellie	115	-11660	-10409	-11489
ellie	116	-11882	-11934	-11536
ellie	117	-10681	-11718	-10367
ellie	118	-10357	-11318	-11585
ellie	119	-10900	-11039	-10184
ellie	120	-10150	-10841	-11763
ellie	121	-10043	-11148	-11921
ellie	122	-10337	-11518	-11071
ellie	123	-10440	-11554	-11775
ellie	124	-11365	-10518	-10592
ellie	125	-10644	-11133	-10938
ellie	126	-10340	-11528	-10342
ellie	127	-10578	-11580	-10420
ellie	128	-11002	-11921	-10617
ellie	129	-11355	-11902	-11957
ellie	130	-11031	-10787	-11767
ellie	131	-10943	-11648	-11288
ellie	132	-10520	-11094	-11772
ellie	133	-10115	-11413	-11451
ellie	134	-10290	-10549	-10817
ellie	135	-11310	-11351	-10095
ellie	136	-11804	-11582	-11057
ellie	137	-11858	-11514	-11237
ellie	138	-10048	-10080	-11063
ellie	139	-11531	-10376	-11174
ellie	140	-10781	-10993	-11627
ellie	141	-10695	-11682	-10773
ellie	142	-10025	-10700	-11295
ellie	143	-11430	-11658	-10008
ellie	144	-10195	-10935	-11664
ellie	145	-11320	-11846	-10003
ellie	146	-10124	-11967	-11876
ellie	147	-11610	-10580	-10996
ellie	148	-11396	-11440	-11471
alice	148	11453	11480	10662
alice	149	10846	10418	11135
alice	150	11580	10216	11546
alice	151	11863	11963	10003
alice	152	10560	10577	11655
alice	153	11282	11862	11276
alice	154	10367	11811	10839
alice	155	11650	11084	11406
alice	156	10054	11246	10797
alice	157	11426	11316	11331
alice	158	11235	10450	11278
alice	159	11802	11124	11655
alice	160	11363	10102	11451
alice	161	11396	10762	10379
alice	162	11423	10668	10458
alice	163	11740	10072	11704
alice	164	11855	10016	10785
alice	165	11440	10921	11404
alice	166	11859	10312	11740
alice	167	10599	11925	10115
alice	168	10987	11994	10188
alice	169	11115	10800	11891
alice	170	11334	10437	10912
alice	171	11499	11845	10741
alice	172	10248	11513	11140
alice	173	11305	11783	10198
alice	174	10918	10884	10378
alice	175	10334	10690	10927
alice	176	10036	10902	11448
alice	177	10832	11334	10843
alice	178	10299	11102	10696
alice	179	10212	11552	10998
alice	180	10864	11402	10094
alice	181	10680	11027	11360
alice	182	10652	11189	11470
alice	183	11057	10185	11902
alice	184	11568	10726	10597
alice	185	11723	11120	11127
alice	186	11211	10212	10833
alice	187	11252	10566	11287
alice	188	10375	11375	10655
alice	189	10059	11364	10146
alice	190	10837	11558	10826
alice	191	10761	11688	11910
alice	192	10034	10855	11005
alice	193	10875	10003	10583
alice	194	11906	11243	10847
alice	195	10745	11341	11887
alice	196	11904	10917	10636
bob	196	8230	8662	8544
bob	197	8072	9516	9974
bob	198	9709	9965	8145
bob	199	8926	9037	9588
bob	200	9044	8386	9604
bob	201	8561	9752	9114
bob	202	9977	8574	8572
bob	203	9779	8990	8524
bob	204	8570	9373	8723
bob	205	8532	9277	8924
bob	206	9374	9302	9121
bob	207	8139	9911	8496
bob	208	8241	9239	9141
bob	209	9004	9443	9208
bob	210	9232	9412	8768
bob	211	9618	8701	8016
bob	212	8101	8034	9817
bob	213	8758	8622	8493
bob	214	9619	9583	9971
bob	215	8424	8578	9294
bob	216	8072	8258	9873
bob	217	8156	9675	9856
bob	218	9032	8921	9993
bob	219	8626	9542	9480
bob	220	8375	8048	9792
bob	221	8995	9587	8591
bob	222	9494	8905	9386
bob	223	8126	8486	9201
bob	224	9532	9709	9012
bob	225	8197	8298	9868
bob	226	9657	8558	8455
bob	227	8995	8182	9263
bob	228	8395	8719	9121
bob	229	9358	9867	9328
bob	230	9215	9536	9612
bob	231	9953	9410	9327
bob	232	8393	9383	8168
bob	233	8331	9757	9601
bob	234	9622	9598	9111
bob	235	8123	9793	8338
bob	236	9911	9191	9453
bob	237	8779	8061	8941
bob	238	9128	9332	9008
bob	239	9567	8885	8974
bob	240	8863	9339	8093
bob	241	8057	8574	9388
bob	242	8997	9651	8629
bob	243	9273	8459	9964
bob	244	9358	9277	9823
bob	245	8642	9673	8066
charlie	245	1809	1378	1413
charlie	246	1411	1855	1048
charlie	247	1115	1726	1280
charlie	248	1409	1291	1306
charlie	249	1433	1199	1924
charlie	250	1078	1092	1611
charlie	251	1070	1387	1142
charlie	252	1543	1507	1883
charlie	253	1954	1297	1202
charlie	254	1597	1222	1533
charlie	255	1239	1297	1264
charlie	256	1557	1465	1066
charlie	257	1512	1307	1834
charlie	258	1832	1793	1239
charlie	259	1353	1326	1626
charlie	260	1129	1412	1991
charlie	261	1481	1267	1974
charlie	262	1513	1430	1589
charlie	263	1105	1153	1542
charlie	264	1530	1481	1771
charlie	265	1471	1224	1261
charlie	266	1448	1040	1090
charlie	267	1895	1030	1982
charlie	268	1619	1098	1532
charlie	269	1250	1301	1970
charlie	270	1345	1076	1580
charlie	271	1708	1731	1095
charlie	272	1693	1026	1200
charlie	273	1394	1641	1662
charlie	274	1748	1314	1627
charlie	275	1895	1588	1209
charlie	276	1744	1101	1946
charlie	277	1413	1556	1040
charlie	278	1380	1324	1732
charlie	279	1247	1665	1834
charlie	280	1265	1032	1006
charlie	281	1507	1819	1288
charlie	282	1753	1138	1442
charlie	283	1457	1095	1400
charlie	284	1843	1607	1344
charlie	285	1868	1494	1717
charlie	286	1042	1020	1401
charlie	287	1435	1580	1549
charlie	288	1966	1040	1838
charlie	289	1225	1358	1703
charlie	290	1768	1465	1417
charlie	291	1808	1551	1904
charlie	292	1288	1043	1251
charlie	293	1138	1585	1682
charlie	294	1828	1756	1505
dickie	294	4781	4452	4859
dickie	295	4468	4768	4125
dickie	296	4578	4639	4665
dickie	297	4361	4556	4447
dickie	298	4297	4825	4598
dickie	299	4452	4572	4554
dickie	300	4184	4482	4821
dickie	301	4935	4799	4122
dickie	302	4431	4940	4259
dickie	303	4648	4447	4203
dickie	304	4810	4006	4166
dickie	305	4662	4566	4559
dickie	306	4864	4697	4121
dickie	307	4059	4777	4408
dickie	308	4129	4253	4076
dickie	309	4460	4777	4259
dickie	310	4640	4722	4253
dickie	311	4945	4012	4768
dickie	312	4129	4385	4139
dickie	313	4669	4232	4093
dickie	314	4290	4132	4777
dickie	315	4311	4633	4335
dickie	316	4094	4971	4689
dickie	317	4982	4482	4308
dickie	318	4928	4270	4788
dickie	319	4928	4802	4977
dickie	320	4942	4656	4329
dickie	321	4131	4236	4190
dickie	322	4623	4542	4423
dickie	323	4440	4043	4584
dickie	324	4963	4848	4544
dickie	325	4409	4347	4051
dickie	326	4009	4949	4988
dickie	327	4394	4991	4165
dickie	328	4215	4447	4557
dickie	329	4881	4220	4690
dickie	330	4294	4471	4845
dickie	331	4181	4770	4443
dickie	332	4780	4223	4435
dickie	333	4578	4347	4268
dickie	334	4565	4443	4993
dickie	335	4538	4308	4392
