Category	Label	pa1	pa2	pa3
category A	obj1	0.47	0.95	0.39
category A	obj2	0.98	0.98	0.36
category A	obj3	0.5	0.4	0.11
category A	obj4	0.5	blurb	0.29
category A	obj5	0.11	0.51	0.74
category A	obj6	0.1	0.72	0.27
category A	obj7	0.55	0.11	0.15
category A	obj8	0.23	0.36	0.51
category A	obj9	0.74	0.26	0
category A	obj10	0	0.38	0.07
category B	obj11	1.88	1.46	1.02
category B	obj12	1.54	1.46	1.9
category B	obj13	1.48	1.19	1.78
category B	obj14	1.39	1.1	1.23
category B	obj15	1.43	1.35	1.45
category B	obj16	1.13	1.82	1.35
category B	obj17	1.07	1.55	1.36
category B	obj18	1.5	1.98	1.11
category B	obj19	1.52	1.11	1.67
category B	obj20	1.74	1.72	1.38
category C	obj21	0.21	0.281	0.271
category C	obj22	0.254	0.294	0.294
category C	obj23	0.294	0.27	0.24
category C	obj24	0.23	0.234	0.27
category C	obj25	0.268	0.262	0.242
category C	obj26	0.296	0.223	0.245
category C	obj27	0.237	0.267	0.228
category C	obj28	0.235	0.249	0.236
category C	obj29	0.209	0.253	0.272
category C	obj30	0.245	0.233	0.264
category C	obj31	0.293	0.272	0.229
category C	obj32	0.219	0.281	0.214
category C	obj33	0.218	0.284	0.279
category C	obj34	0.288	0.286	0.201
category C	obj35	0.269	0.24	0.28
